id,name,type,country,country_code,confederation,has_team_stats,has_player_stats,xg_available,odds_available,live_odds_available
comp_29906,Algerian Ligue 1,league,Algeria,DZ,,True,False,False,True,False
comp_08235,Copa Argentina,cup,Argentina,AR,,True,True,True,True,False
comp_4540,Liga Profesional de Fútbol,league,Argentina,AR,,True,True,True,True,False
comp_9389,ASEAN Championship,cup,Asia,,,False,False,False,False,False
comp_9346,Gulf Cup,cup,Asia,,,False,False,False,False,False
comp_6151,A-League Men,league,Australia,AU,,True,True,True,True,False
comp_4519,2. Liga,league,Austria,AT,,True,True,True,True,False
comp_4893,Austrian Bundesliga,league,Austria,AT,,True,True,True,True,False
comp_7218,Challenger Pro League,league,Belgium,BE,,True,True,True,True,False
comp_8531,Pro League,league,Belgium,BE,,True,True,True,True,False
comp_623699,División Profesional,league,Bolivia,BO,,True,True,True,True,False
comp_4795,Brasileirão Série A,league,Brazil,BR,,True,True,True,True,False
comp_1085,Brasileirão Série B,league,Brazil,BR,,True,True,True,True,True
comp_5242,Copa do Brasil,cup,Brazil,BR,,True,True,True,True,False
comp_3758,Parva Liga,league,Bulgaria,BG,,True,True,True,True,False
comp_194097,Canadian Premier League,league,Canada,CA,,True,True,True,True,False
comp_573599,Chilean Primera División,league,Chile,CL,,True,True,True,True,False
comp_7712,CFA Super League,league,China,CN,,True,True,True,True,False
comp_720692,"Primera A, Apertura",league,Colombia,CO,,True,True,True,True,False
comp_1941,HNL,league,Croatia,HR,,True,True,True,True,False
comp_2593,Cypriot First Division,league,Cyprus,CY,,True,True,True,True,False
comp_9766,Czech First League,league,Czech Republic,CZ,,True,True,True,True,False
comp_7938,Danish Superliga,league,Denmark,DK,,True,True,True,True,False
comp_1917,LigaPro Serie A,league,Ecuador,EC,,True,True,True,True,True
comp_84287,Egyptian Premier League,league,Egypt,EG,,True,True,True,True,False
comp_8321,Championship,league,England,GB,,True,True,True,True,False
comp_6323,Community Shield,tournament,England,GB,,True,True,False,True,False
